"+warn.equipmentInfo[parameters[0]] +"

[Header] 2020-05-18 10:04:16,774 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbcdsc thread_c1
2020-05-18 10:04:16,806 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbcdsc thread_c2
2020-05-18 10:04:16,808 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbzndb thread_jz
2020-05-18 10:04:16,809 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbzndb thread_qm
2020-05-18 10:04:16,812 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbzndb thread_zp
2020-05-18 10:04:16,814 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbzndb thread_cda
2020-05-18 10:04:16,815 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbzndb thread_cdc
2020-05-18 10:04:16,882 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbzndb2 thread_cdb
2020-05-18 10:04:16,900 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbgh thread.
2020-05-18 10:04:16,907 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbhg thread.
2020-05-18 10:04:16,914 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbqm thread.
2020-05-18 10:04:16,921 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start ebgh thread.
2020-05-18 10:04:16,923 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start ebhg thread.
2020-05-18 10:04:17,019 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:17_start ybgh thread.
2020-05-18 10:04:17,091 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:17_start gybdz97 thread.1x
2020-05-18 10:04:17,157 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:17_start gybdz07 thread.2x
[Header] 2020-05-18 10:05:45,033 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:05:45_start sbcdsc thread_c1
2020-05-18 10:05:45,064 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:05:45_start sbcdsc thread_c2
2020-05-18 10:05:45,099 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:05:45_start sbzndb thread_jz
